FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION,GP_career,GS_career,MIN_career,FGM_career,FGA_career,FG_PCT_career,FG3M_career,FG3A_career,FG3_PCT_career,FTM_career,FTA_career,FT_PCT_career,OREB_career,DREB_career,REB_career,AST_career,STL_career,BLK_career,TOV_career,PF_career,PTS_career
Elton Brand,1882,2011-12,50,-63,True,PHI,33,60,28.9,4.8,9.7,0.494,0.0,0.0,0.0,1.4,1.9,0.733,2.4,4.7,7.2,1.6,1.0,1.6,1.1,2.9,11.0,PF,1058,868,33.0,6.2,12.5,0.5,0.0,0.0,0.095,3.4,4.7,0.736,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9
Lamar Odom,1885,2007-08,24,-28,True,LAL,28,77,37.9,5.4,10.3,0.525,0.4,1.5,0.27399999999999997,3.0,4.3,0.698,2.6,8.1,10.6,3.5,1.0,0.9,2.0,2.9,14.2,PF,961,684,33.4,5.0,10.8,0.46299999999999997,0.7,2.2,0.312,2.6,3.7,0.693,1.9,6.5,8.4,3.7,0.9,0.9,2.3,3.0,13.3
Richard Hamilton,1888,2006-07,52,-17,True,DET,29,75,36.8,7.3,15.6,0.46799999999999997,0.6,1.7,0.341,4.6,5.4,0.861,1.0,2.8,3.8,3.8,0.8,0.2,2.1,3.1,19.8,SG,921,783,32.1,6.5,14.4,0.449,0.6,1.7,0.34600000000000003,3.5,4.1,0.852,0.9,2.2,3.1,3.4,0.8,0.1,2.1,2.5,17.1
Andre Miller,1889,2012-13,94,-103,True,DEN,37,82,26.2,3.7,7.7,0.479,0.2,0.8,0.266,2.0,2.4,0.84,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,9.6,PG,1304,939,30.9,4.6,10.0,0.461,0.1,0.7,0.217,3.1,3.8,0.807,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5
Shawn Marion,1890,2012-13,42,-44,True,DAL,35,67,30.0,5.3,10.3,0.514,0.3,1.1,0.315,1.2,1.5,0.782,2.2,5.7,7.8,2.4,1.1,0.7,1.5,1.7,12.1,SF,1163,1062,34.5,6.3,12.9,0.484,0.7,2.1,0.331,2.0,2.5,0.81,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2
Jason Terry,1891,2011-12,84,-60,True,DAL,34,63,31.7,5.7,13.2,0.43,2.2,5.8,0.37799999999999995,1.6,1.8,0.883,0.3,2.1,2.4,3.6,1.2,0.2,2.0,1.1,15.1,SG,1410,679,29.8,4.9,11.1,0.444,1.6,4.3,0.38,2.0,2.3,0.845,0.4,2.0,2.3,3.8,1.1,0.2,1.7,1.8,13.4
Metta World Peace,1897,2008-09,65,-45,True,HOU,29,69,35.5,6.0,15.0,0.401,2.2,5.6,0.39899999999999997,2.8,3.8,0.748,0.9,4.3,5.2,3.3,1.5,0.3,2.0,2.2,17.1,SF,991,840,31.7,4.7,11.4,0.414,1.2,3.4,0.33899999999999997,2.6,3.6,0.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2
Andrei Kirilenko,1905,2005-06,15,-75,True,UTA,25,69,37.7,4.9,10.6,0.46,0.5,1.7,0.308,5.0,7.2,0.6990000000000001,2.3,5.7,8.0,4.3,1.5,3.2,2.9,2.3,15.3,SF,797,546,30.0,3.9,8.3,0.474,0.5,1.5,0.31,3.5,4.6,0.754,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8
Manu Ginobili,1938,2015-16,147,-54,True,SAS,38,58,19.6,3.4,7.5,0.45299999999999996,1.2,3.1,0.391,1.6,1.9,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6,SG,1057,349,25.4,4.3,9.7,0.447,1.4,3.8,0.369,3.2,3.9,0.8270000000000001,0.6,2.8,3.5,3.8,1.3,0.3,2.0,2.1,13.3
Kenyon Martin,2030,2003-04,21,-22,True,NJN,26,65,34.6,6.8,13.8,0.488,0.1,0.4,0.28,3.1,4.5,0.684,2.0,7.4,9.5,2.5,1.5,1.3,2.6,3.5,16.7,PF,757,667,30.6,5.1,10.6,0.483,0.1,0.4,0.23399999999999999,2.0,3.2,0.629,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3
