FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Jason Kidd,467,2005-06,18,-1,FALSE,NJN,33,80,37.2,4.6,11.3,0.404,1.7,4.9,0.352,2.4,3.1,0.795,1.1,6.2,7.3,8.4,1.9,0.4,2.4,2,13.3,PG
Jason Kidd,467,2006-07,19,-9,FALSE,NJN,34,80,36.7,4.6,11.4,0.406,1.6,4.5,0.343,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13,PG
Jason Kidd,467,2007-08,28,-3,FALSE,TOT,35,80,36.3,3.8,9.9,0.385,1.5,3.9,0.381,1.7,2.1,0.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8,PG
Jason Kidd,467,2008-09,31,-2,FALSE,DAL,36,81,35.6,3.2,7.6,0.416,1.6,4,0.406,1.1,1.3,0.819,1,5.1,6.2,8.7,2,0.5,2.3,2.1,9,PG
Jason Kidd,467,2009-10,33,-39,TRUE,DAL,37,80,36,3.6,8.4,0.423,2.2,5.2,0.425,1,1.2,0.808,0.6,5,5.6,9.1,1.8,0.4,2.4,1.8,10.3,PG
Jason Kidd,467,2012-13,119,32,FALSE,NYK,40,76,26.9,2,5.4,0.372,1.5,4.3,0.351,0.5,0.6,0.833,0.7,3.6,4.3,3.3,1.6,0.3,1,1.6,6,PG
Kurt Thomas,703,1998-99,126,10,FALSE,NYK,26,50,23.6,3.4,7.4,0.462,0,0,0,1.3,2.2,0.611,1.6,4.1,5.7,1.1,0.9,0.3,1.5,3.2,8.1,C
Kurt Thomas,703,1999-00,116,39,FALSE,NYK,27,80,24.6,3.4,6.7,0.505,0,0,0.333,1.3,1.6,0.781,1.8,4.5,6.3,1,0.6,0.5,1.3,3.5,8,C
Kurt Thomas,703,2000-01,77,35,FALSE,NYK,28,77,27.6,4.1,8,0.511,0,0,0.333,2.2,2.7,0.814,2.2,4.5,6.7,0.8,0.8,0.9,1.3,3.7,10.4,C
Kurt Thomas,703,2001-02,42,-1,FALSE,NYK,29,82,33.8,5.6,11.4,0.494,0,0.1,0.167,2.6,3.2,0.815,2.6,6.5,9.1,1.1,0.9,1,1.9,4.2,13.9,C
Kurt Thomas,703,2002-03,43,-16,FALSE,NYK,30,81,31.8,6.1,12.7,0.483,0,0,0.667,1.7,2.3,0.75,2,5.9,7.9,2,1,1.2,1.7,4.2,14,C
Kurt Thomas,703,2003-04,59,23,FALSE,NYK,31,80,31.9,4.9,10.4,0.473,0,0,0,1.3,1.6,0.835,1.8,6.5,8.3,1.9,0.7,1,1.7,3.7,11.1,C
Kurt Thomas,703,2007-08,109,-47,TRUE,TOT,35,70,22.6,2.8,5.7,0.492,0,0,0,0.8,1.1,0.663,1.9,5.4,7.2,1,0.8,0.8,0.7,2.7,6.3,C
Kurt Thomas,703,2008-09,156,-29,FALSE,SAS,36,79,17.8,1.9,3.8,0.503,0,0,0,0.5,0.6,0.822,1.7,3.4,5.1,0.8,0.4,0.7,0.5,2.2,4.3,C
