PLAYER_ID,SEASON_ID,RANK_PG_EFF
200746,2006-07,
200746,2007-08,53.0
200746,2008-09,33.0
200746,2009-10,35.0
200746,2010-11,13.0
200746,2011-12,10.0
200746,2012-13,10.0
200746,2013-14,10.0
200746,2014-15,9.0
200746,2015-16,27.0
200746,2016-17,45.0
200746,2017-18,12.0
200746,2018-19,18.0
200746,2019-20,30.0
200746,2020-21,
200746,2021-22,
951,1996-97,97.0
951,1997-98,40.0
951,1998-99,48.0
951,1999-00,21.0
951,2000-01,19.0
951,2001-02,26.0
951,2002-03,20.0
951,2003-04,15.0
951,2004-05,28.0
951,2005-06,21.0
951,2006-07,21.0
951,2007-08,75.0
951,2008-09,53.0
951,2009-10,72.0
951,2010-11,63.0
951,2011-12,
951,2012-13,132.0
951,2013-14,160.0
2754,2004-05,161.0
2754,2005-06,
2754,2006-07,
2754,2007-08,198.0
2754,2008-09,
2754,2009-10,
2754,2010-11,132.0
2754,2011-12,108.0
2754,2012-13,127.0
2754,2013-14,
2754,2014-15,133.0
2754,2015-16,152.0
2754,2016-17,134.0
2754,2017-18,
200811,2006-07,
200811,2007-08,
200811,2008-09,187.0
200811,2009-10,176.0
200811,2010-11,
200811,2011-12,184.0
200811,2012-13,
200811,2013-14,
200811,2014-15,
200811,2015-16,
2365,2001-02,
2365,2002-03,
2365,2003-04,165.0
2365,2004-05,
2365,2005-06,
2365,2007-08,
2365,2008-09,110.0
2365,2009-10,111.0
2365,2010-11,
2365,2011-12,
2365,2012-13,
2365,2013-14,139.0
2365,2014-15,159.0
2365,2015-16,
2365,2016-17,
101187,2005-06,
101187,2006-07,
101187,2011-12,
101187,2012-13,
101187,2013-14,223.0
101187,2014-15,211.0
101187,2015-16,
101187,2016-17,
2546,2003-04,48.0
2546,2004-05,54.0
2546,2005-06,22.0
2546,2006-07,14.0
2546,2007-08,14.0
2546,2008-09,26.0
2546,2009-10,13.0
2546,2010-11,15.0
2546,2011-12,24.0
2546,2012-13,9.0
2546,2013-14,8.0
2546,2014-15,
2546,2015-16,23.0
2546,2016-17,41.0
2546,2017-18,88.0
2546,2018-19,
2546,2019-20,91.0
2546,2020-21,129.0
2546,2021-22,111.0
201202,2007-08,
201202,2008-09,
201202,2009-10,193.0
201202,2010-11,191.0
201202,2011-12,166.0
201202,2012-13,
201202,2013-14,
201202,2014-15,
201202,2015-16,
201202,2016-17,
2772,2004-05,167.0
2772,2005-06,
2772,2006-07,
2772,2007-08,
2772,2008-09,127.0
2772,2009-10,73.0
2772,2010-11,112.0
2772,2011-12,
2772,2012-13,
2772,2013-14,54.0
2772,2014-15,75.0
2772,2015-16,84.0
2772,2016-17,83.0
2772,2017-18,108.0
2772,2018-19,86.0
2772,2019-20,155.0
2772,2020-21,
2772,2021-22,
201571,2008-09,132.0
201571,2009-10,191.0
201571,2010-11,82.0
201571,2011-12,
201571,2012-13,193.0
201571,2013-14,123.0
201571,2014-15,168.0
201571,2015-16,201.0
201571,2016-17,225.0
201571,2017-18,137.0
201571,2018-19,101.0
201571,2019-20,158.0
201571,2020-21,192.0
201571,2021-22,
2571,2003-04,159.0
2571,2004-05,
2571,2005-06,
2571,2006-07,57.0
2571,2007-08,94.0
2571,2008-09,106.0
2571,2009-10,
2571,2010-11,
2571,2011-12,158.0
2571,2012-13,
2571,2013-14,
2571,2014-15,229.0
2571,2015-16,240.0
2571,2016-17,251.0
200826,2006-07,
200826,2007-08,
200826,2008-09,163.0
200826,2009-10,167.0
200826,2010-11,145.0
200826,2011-12,
200826,2012-13,136.0
200826,2013-14,202.0
200826,2014-15,207.0
200826,2015-16,149.0
200826,2016-17,
200826,2017-18,95.0
200826,2018-19,
200826,2019-20,
2440,2003-04,
2440,2004-05,
2440,2005-06,
2440,2006-07,113.0
2440,2007-08,161.0
2440,2008-09,116.0
2440,2009-10,117.0
2440,2010-11,
2440,2011-12,100.0
2440,2012-13,103.0
2440,2013-14,135.0
2440,2014-15,134.0
2440,2015-16,119.0
2440,2016-17,150.0
2853,2005-06,
2853,2006-07,
2853,2007-08,
2853,2009-10,
2853,2010-11,
2853,2011-12,
2853,2012-13,
2853,2014-15,
2203,2001-02,70.0
2203,2002-03,89.0
2203,2003-04,120.0
2203,2004-05,93.0
2203,2005-06,79.0
2203,2006-07,102.0
2203,2007-08,106.0
2203,2008-09,125.0
2203,2009-10,118.0
2203,2010-11,117.0
2203,2011-12,173.0
2203,2012-13,168.0
2203,2013-14,243.0
201587,2008-09,181.0
201587,2009-10,
201587,2010-11,103.0
201587,2011-12,64.0
201587,2012-13,41.0
201587,2013-14,31.0
201587,2014-15,69.0
201587,2015-16,42.0
201587,2016-17,47.0
201587,2017-18,73.0
201587,2018-19,104.0
201587,2019-20,
201587,2020-21,118.0
201587,2021-22,133.0
201587,2022-23,182.0
